Designator,Mid X,Mid Y,Rotation,Layer
C1,142.13,-120.625,0.0,top
C2,142.13,-123.635,0.0,top
J1_2,137.8,-94.07,0.0,top
J1,157.995,-95.585,90.0,top
J2_2,136.8,-108.5,270.0,top
J2,176.905,-95.485,270.0,top
J3,136.8,-129.535,270.0,bottom
LED1,157.725,-91.0125,0.0,bottom
LED2,176.775,-91.012499,0.0,bottom
LED3,157.725,-110.062499,0.0,bottom
LED4,176.775,-110.062499,0.0,bottom
LED5,157.725,-129.112498,0.0,bottom
LED6,176.775,-129.112498,0.0,bottom
R1,131.5,-123.635,0.0,top
R2,131.5,-120.685,0.0,top
R3,131.5,-126.585,180.0,top
R4,142.1,-126.615,180.0,top
SW1_2,157.725,-83.89195,0.0,top
SW1,136.8,-102.6,180.0,bottom
SW2,176.775,-83.89195,0.0,top
SW3,157.725,-102.94195,0.0,top
SW4,176.775,-102.94195,0.0,top
SW5,157.725,-121.99195,0.0,top
SW6,176.775,-121.99195,0.0,top
SW7,153.499999,-78.885,180.0,bottom
U1_2,136.8,-123.635,180.0,top
U1,176.8,-87.2035,0.0,bottom
U3,136.8,-78.45,0.0,bottom
